Session;N_Antagene;Région;Projet;Type analyse;Type prélèvement;Tri;N° Animal 2020;Sexe;Assignation espèce;observateur;lieu-dit;X;Y
S04_2020;626117;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;timidus;Pardi;Madone;1048959;6344247
S04_2020;626124;Mercantour;F414;individuelle;fèces silica;2-Douteux;NA;Mâle;europaeus;Pardi;Madone;1048729;6342686
S04_2020;626171;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-061;Mâle;europaeus;Orméa;Balaour;1039353;6342811
S04_2020;626172;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-002;Mâle;timidus;Archimbaud;Lac Nègre;1038716;6347913
S04_2020;626179;Mercantour;F414;individuelle;fèces silica;2-Douteux;NA;-;timidus;Archimbaud;Lac Nègre;1038522;6349417
S04_2020;626180;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;timidus;Pardi;Madone;1048981;6344167
S04_2020;626186;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-001;Mâle;timidus;Pardi;Madone;1049026;6344276
S04_2020;626649;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-062;Mâle;europaeus;Breton;Le Colombier;1005409;6380829
S04_2020;628718;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-063;Mâle;timidus;Mansons;Mounier;1017204;6345359
S04_2020;628719;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-064;Mâle;timidus;Mansons;Mounier;1016788;6346906
S04_2020;628785;Mercantour;F414;individuelle;fèces silica;1-Non exploitable;NA;-;timidus;Roux;;995507;6354923
S04_2020;628806;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-003;Mâle;timidus;Roux;;982888;6354985
S04_2020;628808;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-003;Mâle;timidus;Roux;;983178;6354951
S04_2020;628814;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-065;Femelle;timidus;Roux;;995708;6355576
S04_2020;628822;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-066;Femelle;timidus;Roux;;995086;6354837
S04_2020;628823;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-004;Mâle;timidus;Laurent;Laus;995722;6355629
S04_2020;628826;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-005;Mâle;timidus;Laurent;Laus;995984;6356629
S04_2020;628831;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-003;Mâle;timidus;Roux;;982785;6355089
S04_2020;628833;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-006;Mâle;timidus;Roux;;995753;6355314
S04_2020;628855;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-003;Mâle;timidus;Roux;;983091;6354960
S04_2020;628857;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-005;Mâle;timidus;Laurent;Laus;996218;6355872
S04_2020;628859;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-067;Femelle;timidus;Roux;;996106;6355913
S04_2020;628861;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-068;Mâle;timidus;Roux;;995042;6355005
S04_2020;628862;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-006;Mâle;timidus;Roux;;994936;6354955
S04_2020;628863;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-069;Femelle;timidus;Roux;;995963;6356041
S04_2020;628865;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-070;Femelle;timidus;Roux;;983515;6355332
S04_2020;628866;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-004;Mâle;timidus;Laurent;Laus;995204;6356486
S04_2020;630305;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-071;-;timidus;Lombard;Plateau Mallemort;1005814;6381771
S04_2020;630319;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-072;Femelle;timidus;Lombard;Baraquements viraysse;1006307;6382871
S04_2020;630349;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-073;Femelle;timidus;Roux;;982999;6359299
S04_2020;630350;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-074;Femelle;timidus;Roux;;982651;6359126
S04_2020;630351;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-075;Femelle;timidus;Laurent;Laus;995563;6356364
S04_2020;630360;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-076;Femelle;timidus;Roux;;982672;6358838
S04_2020;630442;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-077;Mâle;timidus;;;1005739;6352619
S04_2020;630443;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;timidus;;;1003026;6356363
S04_2020;630444;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;timidus;;;1003239;6355922
S04_2020;630445;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-007;Mâle;timidus;;;1002146;6356267
S04_2020;630446;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-078;Mâle;europaeus;;;1003504;6350809
S04_2020;630447;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-079;Mâle;timidus;;;1004867;6350416
S04_2020;630448;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-008;Femelle;timidus;;;1003870;6351351
S04_2020;630449;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-008;Femelle;timidus;;;1003561;6351569
S04_2020;630450;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-080;Mâle;timidus;;;998727;6354838
S04_2020;630451;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-081;Femelle;timidus;;;997989;6355158
S04_2020;630452;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-082;Mâle;timidus;;;997359;6355216
S04_2020;630453;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-032;Mâle;timidus;;;997677;6355776
S04_2020;630454;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-083;Femelle;timidus;;;999028;6354689
S04_2020;630460;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-084;Femelle;timidus;;;998919;6356979
S04_2020;630461;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-085;Femelle;timidus;;;1000215;6353618
S04_2020;630466;Mercantour;F414;individuelle;fèces silica;1-Non exploitable;NA;-;NA;;;1003003;6358457
S04_2020;630468;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-086;Femelle;timidus;;;999972;6353424
S04_2020;630469;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-087;Mâle;timidus;;;999782;6353230
S04_2020;630470;Mercantour;F414;individuelle;fèces silica;1-Non exploitable;NA;-;NA;;;997745;6349494
S04_2020;630471;Mercantour;F414;individuelle;fèces silica;1-Non exploitable;NA;-;NA;;;996997;6349324
S04_2020;630472;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-088;Femelle;timidus;;;996306;6348841
S04_2020;630473;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-089;Femelle;timidus;;;996609;6348341
S04_2020;630474;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-090;-;timidus;;;997846;6348487
S04_2020;630479;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-009;Femelle;timidus;;;1002149;6356707
S04_2020;630480;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-091;Femelle;timidus;;;1003953;6350609
S04_2020;630481;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-092;Mâle;timidus;;;1004551;6350852
S04_2020;630594;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-093;Mâle;europaeus;Mansons;Cantonnière;999958;6356888
S04_2020;630597;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-009;Femelle;timidus;Mansons;Roche trouée;1002375;6356544
S04_2020;655506;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-010;Mâle;timidus;;;1002689;6358048
S04_2020;655507;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-094;Femelle;timidus;;;1002449;6357535
S04_2020;655511;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-012;Mâle;timidus;;;1001896;6358554
S04_2020;655551;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-013;Mâle;timidus;;;1004047;6354321
S04_2020;655555;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-013;Mâle;timidus;;;1004625;6353540
S04_2020;655563;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-095;-;timidus;;;1001581;6358351
S04_2020;655576;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-096;Femelle;timidus;Breton;Pré La Font;1007000;6380912
S04_2020;655577;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-097;Mâle;europaeus;Breton;Bayasse;998602;6364293
S04_2020;655580;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-014;Mâle;timidus;Breton;Cabane Moutière;1001331;6364676
S04_2020;655582;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-015;Femelle;timidus;Breton;Refuge Trémeau;1008302;6382363
S04_2020;655583;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-016;Mâle;timidus;Breton;Crête des Eyssalps;1008131;6375402
S04_2020;655584;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-016;Mâle;timidus;Breton;Crête des Eyssalps;1008547;6376315
S04_2020;655585;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-017;Femelle;timidus;Lombard;Tête Dure;1008550;6380511
S04_2020;655589;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-015;Femelle;timidus;Lombard;L’Isalette;1007739;6381520
S04_2020;655590;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-098;Femelle;timidus;Fribourg;Vallon de Siguret;1000985;6379634
S04_2020;655594;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-018;Mâle;timidus;Lombard;Ref Trémeau;1007529;6382213
S04_2020;655595;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-019;Mâle;timidus;Lombard;L’Isalette;1007735;6381744
S04_2020;655597;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-020;Mâle;timidus;Lombard;Baraquements viraysse;1006000;6383393
S04_2020;655599;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-019;Mâle;timidus;Lombard;Riou du Pinet;1006106;6383849
S04_2020;655651;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-099;Mâle;europaeus;Orméa;Balaour;1039341;6342881
S04_2020;655674;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-100;Femelle;timidus;Guigo;Frémamorte;1039737;6348245
S04_2020;656449;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-101;Mâle;timidus;Roux;;983316;6357690
S04_2020;656451;Mercantour;F414;individuelle;fèces silica;3-Exploitable;S04-021;Femelle;timidus;Roux;;983149;6357076
